sample_id,patient,condition,run_id,file_gene,paired
PGL214-395-tum,PGL214,tumor,33479515,PGL214-395-tum_33479515.quant.genes.sf,TRUE
PGL214-395-2D,PGL214,2D,33479514,PGL214-395-2D_33479514.quant.genes.sf,TRUE
PTJ206-244-tum,PTJ206,tumor,33479517,PTJ206-244-tum_33479517.quant.genes.sf,TRUE
PTJ206-244-2D,PTJ206,2D,33479516,PTJ206-244-2D_33479516.quant.genes.sf,TRUE
PTJ207-286-tum,PTJ207,tumor,33479519,PTJ207-286-tum_33479519.quant.genes.sf,TRUE
PTJ207-286-2D,PTJ207,2D,33479518,PTJ207-286-2D_33479518.quant.genes.sf,TRUE
PTJ208-312-tum,PTJ208,tumor,33479521,PTJ208-312-tum_33479521.quant.genes.sf,TRUE
PTJ208-312-2D,PTJ208,2D,33479520,PTJ208-312-2D_33479520.quant.genes.sf,TRUE
PTJ211-340-tum,PTJ211,tumor,33479524,PTJ211-340-tum_33479524.quant.genes.sf,TRUE
PTJ211-340-2D,PTJ211,2D,33479523,PTJ211-340-2D_33479523.quant.genes.sf,TRUE
PTJ212-348-tum,PTJ212,tumor,33505473,PTJ212-348-tum_33505473.quant.genes.sf,TRUE
PTJ212-348-2D,PTJ212,2D,33505472,PTJ212-348-2D_33505472.quant.genes.sf,TRUE
PTJ215-397-tum,PTJ215,tumor,33505475,PTJ215-397-tum_33505475.quant.genes.sf,TRUE
PTJ215-397-2D,PTJ215,2D,33505474,PTJ215-397-2D_33505474.quant.genes.sf,TRUE
PTJ220-416-tum,PTJ220,tumor,33505476,PTJ220-416-tum_33505476.quant.genes.sf,FALSE
PTJ222-422-2D,PTJ222,2D,33505518,PTJ222-422-2D_33505518.quant.genes.sf,FALSE
